# Value of energy0.111376
# number of periods40
# number of steps40
0 0.300321 -0.0965439
0.00166667 0.300617 -0.0930801
0.00333333 0.300888 -0.0896088
0.005 0.301135 -0.0861302
0.00666667 0.301355 -0.0826445
0.00833333 0.30155 -0.0791521
0.01 0.30172 -0.0756531
0.0116667 0.301863 -0.0721478
0.0133333 0.30198 -0.0686364
0.015 0.302071 -0.0651193
0.0166667 0.302136 -0.0615966
0.0183333 0.302174 -0.0580687
0.02 0.302185 -0.0545358
0.0216667 0.30217 -0.0509982
0.0233333 0.302127 -0.0474562
0.025 0.302057 -0.04391
0.0266667 0.30196 -0.04036
0.0283333 0.301835 -0.0368065
0.03 0.301682 -0.0332497
0.0316667 0.301502 -0.02969
0.0333333 0.301294 -0.0261276
0.035 0.301057 -0.0225629
0.0366667 0.300793 -0.0189962
0.0383333 0.3005 -0.0154277
0.04 0.300179 -0.0118579
0.0416667 0.29983 -0.00828705
0.0433333 0.299452 -0.00471545
0.045 0.299045 -0.00114346
0.0466667 0.29861 0.0024286
0.0483333 0.298145 0.00600039
0.05 0.297652 0.00957158
0.0516667 0.29713 0.0131418
0.0533333 0.296579 0.0167108
0.055 0.295999 0.0202781
0.0566667 0.295389 0.0238434
0.0583333 0.294751 0.0274064
0.06 0.294083 0.0309667
0.0616667 0.293387 0.034524
0.0633333 0.29266 0.0380779
0.065 0.291905 0.041628
0.0666667 0.291121 0.045174
0.0683333 0.290307 0.0487156
0.07 0.289464 0.0522523
0.0716667 0.288591 0.0557839
0.0733333 0.28769 0.0593099
0.075 0.286759 0.06283
0.0766667 0.285799 0.0663439
0.0783333 0.284811 0.0698512
0.08 0.283793 0.0733515
0.0816667 0.282746 0.0768444
0.0833333 0.28167 0.0803297
0.085 0.280565 0.0838069
0.0866667 0.279432 0.0872757
0.0883333 0.278269 0.0907358
0.09 0.277079 0.0941867
0.0916667 0.275859 0.0976282
0.0933333 0.274612 0.10106
0.095 0.273336 0.104481
0.0966667 0.272032 0.107892
0.0983333 0.270699 0.111293
0.1 0.269339 0.114682
0.101667 0.267952 0.118059
0.103333 0.266536 0.121425
0.105 0.265094 0.124778
0.106667 0.263623 0.128119
0.108333 0.262126 0.131447
0.11 0.260602 0.134762
0.111667 0.259051 0.138064
0.113333 0.257474 0.141351
0.115 0.25587 0.144625
0.116667 0.25424 0.147884
0.118333 0.252584 0.151129
0.12 0.250902 0.154358
0.121667 0.249195 0.157573
0.123333 0.247462 0.160771
0.125 0.245704 0.163954
0.126667 0.243922 0.167121
0.128333 0.242114 0.170271
0.13 0.240283 0.173405
0.131667 0.238427 0.176522
0.133333 0.236547 0.179621
0.135 0.234644 0.182704
0.136667 0.232717 0.185768
0.138333 0.230767 0.188815
0.14 0.228794 0.191844
0.141667 0.226799 0.194854
0.143333 0.224781 0.197845
0.145 0.222741 0.200818
0.146667 0.220679 0.203772
0.148333 0.218596 0.206707
0.15 0.216492 0.209622
0.151667 0.214366 0.212518
0.153333 0.21222 0.215394
0.155 0.210054 0.21825
0.156667 0.207868 0.221086
0.158333 0.205661 0.223901
0.16 0.203436 0.226697
0.161667 0.201191 0.229471
0.163333 0.198927 0.232225
0.165 0.196645 0.234958
0.166667 0.194344 0.23767
0.168333 0.192025 0.240361
0.17 0.189689 0.24303
0.171667 0.187335 0.245679
0.173333 0.184965 0.248305
0.175 0.182577 0.25091
0.176667 0.180173 0.253494
0.178333 0.177753 0.256056
0.18 0.175317 0.258595
0.181667 0.172865 0.261113
0.183333 0.170398 0.263609
0.185 0.167917 0.266083
0.186667 0.16542 0.268534
0.188333 0.162909 0.270963
0.19 0.160384 0.27337
0.191667 0.157846 0.275755
0.193333 0.155293 0.278117
0.195 0.152728 0.280457
0.196667 0.15015 0.282774
0.198333 0.147559 0.285069
0.2 0.144956 0.287342
0.201667 0.142341 0.289592
0.203333 0.139714 0.291819
0.205 0.137076 0.294024
0.206667 0.134426 0.296206
0.208333 0.131766 0.298366
0.21 0.129095 0.300503
0.211667 0.126414 0.302617
0.213333 0.123723 0.304709
0.215 0.121022 0.306779
0.216667 0.118311 0.308826
0.218333 0.115592 0.31085
0.22 0.112863 0.312852
0.221667 0.110126 0.314832
0.223333 0.10738 0.316789
0.225 0.104626 0.318724
0.226667 0.101864 0.320637
0.228333 0.0990948 0.322527
0.23 0.0963179 0.324395
0.231667 0.0935338 0.326241
0.233333 0.0907428 0.328065
0.235 0.0879452 0.329866
0.236667 0.0851411 0.331646
0.238333 0.0823309 0.333404
0.24 0.0795146 0.33514
0.241667 0.0766927 0.336854
0.243333 0.0738652 0.338546
0.245 0.0710324 0.340216
0.246667 0.0681946 0.341865
0.248333 0.065352 0.343493
0.25 0.0625048 0.345099
0.251667 0.0596531 0.346684
0.253333 0.0567973 0.348247
0.255 0.0539374 0.349789
0.256667 0.0510738 0.35131
0.258333 0.0482067 0.35281
0.26 0.0453361 0.354289
0.261667 0.0424624 0.355748
0.263333 0.0395856 0.357185
0.265 0.0367061 0.358602
